# Pulse programs cited in doc/ppcatalogue-2.pdf (Parella, NMRGuide Vol. II, TopSpin 3.0)
# columns: pulseprogram  parameterset(as printed in catalogue, '-' if not given)
b_hncacbgp3d	B_HNCACBGP3D
b_hncacbigp3d	B_HNCACBIGP3D
b_hncacogp3d	B_HNCACOGP3D
b_hncacogp4d	-
b_hncagp3d	B_HNCAGP3D
b_hncaigp3d	B_HNCAIGP3D
b_hncocacbgp3d	B_HNCOCACBGP3D
b_hncocacbgp4d	-
b_hncocagp3d	B_HNCOCAGP3D
b_hncocagp4d	-
b_hncogp3d	B_HNCOGP3D
b_hncoigp3d	B_HNCOIGP3D
b_hsqcetf3gpsi	B_HSQCETF3GPSI
b_trhncacbgp3d	-
b_trhncacbigp3d	-
b_trhncacogp3d	-
b_trhncagp3d	-
b_trhncaigp3d	-
b_trhncocacbgp3d	-
b_trhncocagp3d	-
b_trhncogp3d	-
b_trhncoigp3d	-
b_trosyetf3gpsi	-
b_trosyf3gpph	-
c_caco	-
c_caco_ia	-
c_caco_s3	-
c_can_iasq	-
c_can_mq	-
c_can_mq.2	-
c_canco_ia3d	-
c_canco_ia3d.2	-
c_cancoi_ia3d	-
c_cbcaco_ia3d	-
c_cbcaco_s33d	-
c_cbcacon_ia3d	-
c_cbcanco_ia3d	-
c_ccco_ia3d	-
c_ccco_s33d	-
c_cccon_ia3d	-
c_ccflopsy16	-
c_ccflopsy16_ct	-
c_ccflopsy16_ctia	-
c_ccflopsy16_ia	-
c_ccnoesy	-
c_ccnoesy2	-
c_ccnoesy_ct	-
c_coca	-
c_coca_ia	-
c_coca_mq	-
c_coca_mq.2	-
c_con_iasq	-
c_con_mq	-
c_con_mqia	-
c_con_sq	-
c_cosy	-
c_cosy2_ct	-
c_cosy_ct	-
c_hacaco_3d	-
c_hcaco_ia3d	-
c_hcaco_s33d	-
c_hcan_ia3d	-
c_hcanco_ia3d	-
c_hcancoi_ia3d	-
c_hcbca_ia3d	-
c_hcbcaco_ia3d	-
c_hcbcaco_s33d	-
c_hcbcan_ia3d	-
c_hccflopsy16_3d	-
c_hnca_ia3d	-
c_hncaco_ia3d	-
c_hncaco_s33d	-
c_hnco_ia3d	-
c_hncoca2_ia3d	-
c_hncoca_ia3d	-
cbcaconhgp3d	CBCACONHGP3D
cbcaconhgpwg3d	CBCACONHGPWG3D
cbcaconhgpwg3d.2	-
cbcaconhgpwg4d	-
cbcanhgp3d	CBCANHGP3D
cbcanhgpwg3d	CBCANHGPWG3D
ccaconhgp2h3d	CCACONHGP2H3D
ccaconhgp3d	CCACONHGP3D
ccaconhgp3d.2	CCACONHGP3D.2
ccanhgp2h3d	CCANHGP2H3D
ccanhgp3d	CCANHGP3D
ccanhgp3d.2	CCANHGP3D.2
ccconhgp2h3d	CCCONHGP2H3D
ccconhgp3d	CCCONHGP3D
dipsi2gpphwgx1	-
dipsi2gpphwgx2	-
dipsi2gpphwgxf	-
dipsihsqcf3gpsi3d	DIPSIHSQCF3GPSI3D
dipsitretf3gp3d	DIPSITRETF3GP3D
hacahbcosygp3d	HACAHBCOSYGP3D
haconhgpwg3d	-
hanhgpwg3d	-
hbcbcgcchargp	-
hbcbcgcdcehegp	-
hbcbcgcdhdgp	-
hbhacbcaconhgpwg5d	-
hbhacbcanhgpwg4d	-
hbhaconhgp3d	HBHACONHGP3D
hbhaconhgpwg3d	HBHACONHGPWG3D
hbhaconhgpwg4d	-
hbhanhgp3d	-
hbhanhgpwg3d	-
hcacogp3d	HCACOGP3D
hcacogpjc3d	HCACOGPJC3D
hcacongp2h	-
hcacongp3d	-
hcaconhgp3d	-
hcaconhgpwg3d	-
hcangp2h	-
hcangp3d	-
hcannhgp3d	HCANNHGP3D
hcbcacongp3d	-
hccccosygp3d	HCCCCOSYGP3D
hcccgcbcaconhgp3d	-
hcccgcbcaconhgpwg3d	-
hccconhgp3d1	HCCCONHGP3D1
hccconhgp3d2	HCCCONHGP3D2
hccconhgp3d3	-
hccconhgpwg3d2	HCCCONHGPWG3D2
hccconhgpwg3d3	-
hccconhgpwg4d	-
hcchatgp3d	HCCHATGP3D
hcchatgp3d2	-
hcchcogp3d	HCCHCOGP3D
hcchcogp3d2	-
hcchcogp4d	-
hcchcosygp3d	HCCHCOSYGP3D
hcchdigp3d	HCCHDIGP3D
hcchdigp3d2	HCCHDIGP3D2
hcchdigp4d	-
hcchecosgp3d	HCCHECOSGP3D
hcchetgplr	-
hetsfhmqcf3gpph	-
hmcmcbcacogpwg3d	-
hmcmcbcaconhgpwg3d	-
hmcmcbcagpwg3d	-
hmcmcbcanhgpwg3d	-
hmcmcbcanhgpwg3d2	-
hmqcctetgp	-
hmqcjgp	HMQCJGP
hmqcmlevbi3d	-
hmqcnoesybi3d	-
hmqcnoesyhmqcnngp4d	-
hmqcnoesyhsqcncgp4d	-
hncacbgp2h3d	HNCACBGP2H3D
hncacbgp3d	HNCACBGP3D
hncacbgpjc3d	HNCACBGPJC3D
hncacbgpwg2h3d	HNCACBGPWG2H3D
hncacbgpwg3d	HNCACBGP2H3D
hncacbigp2h3d	HNCACBIGP2H3D
hncacbigp3d	HNCACBIGP3D
hncacbigpwg2h3d	HNCACBIGPWG2H3D
hncacbigpwg3d	HNCACBIGPWG3D
hncacogp2h3d	-
hncacogp2h3d.2	HNCACOGP2H3D.2
hncacogp2h4d	-
hncacogp3d	HNCACOGP3D
hncacogp4d	-
hncacogpwg2h3d	-
hncacogpwg2h4d	-
hncacogpwg3d	HNCACOGPWG3D
hncacogpwg4d	-
hncacosygp3d	HNCACOSYGP3D
hncadhgp3d	-
hncadqzqgp3d	HNCADQZQGP3D
hncaecosgp3d	HNCAECOSGP3D
hncaecosgp3d2	HNCAECOSGP3D2
hncagp2h3d	HNCAGP2H3D
hncagp3d	HNCAGP3D
hncagprc3d1	-
hncagprcwg3d1	-
hncagpwg2h3d	HNCAGPWG2H3D
hncagpwg3d	HNCAGPWG3D
hncah3d	-
hncahagp3d	HNCAHAGP3D
hncaigp2h3d	HNCAIGP2H3D
hncaigp3d	HNCAIGP3D
